(-0.802124, 0.655048, None)
(-0.838740, 0.623358, None)
(-0.732130, 0.501013, None)
(-0.357982, 0.383398, None)
(-0.202639, 0.389174, None)
(0.346147, 0.744504, None)
(0.473965, 0.752792, None)
(0.593799, 0.682424, None)
(0.481148, 0.677255, None)
(0.474202, 0.492093, None)
(0.527465, 0.124531, None)
(0.606444, -0.040826, None)
(0.649917, -0.170617, None)
(0.808659, -0.646297, None)
(0.574697, -0.592809, None)
(0.367216, -0.506272, None)
(0.274640, -0.548219, None)
(0.399775, -0.612328, None)
(0.635903, -0.743438, None)
(0.400734, -0.820052, None)
(0.265846, -0.776219, None)
(-0.664060, -0.611656, None)
(-0.728267, -0.612098, None)
(-0.801399, -0.718140, None)
(-0.970478, -0.109217, None)
(-0.621015, -0.129999, None)
(-0.574524, -0.179559, None)
(-0.547655, 0.042068, None)
(-0.338103, 0.086039, None)
(-0.024847, 0.146163, None)
(0.326042, 0.145665, None)
(0.830368, 0.209786, None)
