(0.744617, -0.123605, None)
(0.823280, -0.406713, None)
(-0.181590, -0.331922, None)
(-0.672491, 0.092180, None)
(-0.122590, -0.194545, None)
(0.592032, -0.080003, None)
(-0.142072, 0.795837, None)
(-0.648365, -0.533813, None)
(-0.788007, -0.711151, None)
(0.781665, 0.070592, None)
(0.253185, -0.316004, None)
(-0.823709, 0.792142, None)
(-0.621927, 0.571608, None)
(0.262988, 0.407241, None)
(-0.345481, -0.673934, None)
(0.145730, 0.273722, None)
(0.403596, 0.425903, None)
(-0.492769, 0.489104, None)
(-0.732237, -0.477302, None)
(-0.624636, 0.227448, None)
(-0.391553, 0.064478, None)
(-0.276168, 0.765897, None)
(0.386368, 0.033384, None)
(-0.222826, 0.531778, None)
(-0.224360, -0.403970, None)
(-0.369758, 0.248350, None)
(0.418064, 0.578501, None)
(-0.144292, 0.735846, None)
(0.307422, 0.199297, None)
(-0.683180, 0.057530, None)
(-0.645261, -0.081470, None)
(0.815439, -0.621510, None)
(-0.555114, -0.026752, None)
(-0.720887, -0.546480, None)
(-0.509791, 0.222230, None)
(-0.277191, 0.098383, None)
(0.665074, -0.289086, None)
(0.289655, -0.216714, None)
(0.728435, 0.287404, None)
(0.095151, 0.031720, None)
(-0.766315, 0.333295, None)
(0.091744, 0.504218, None)
(0.046742, 0.307439, None)
(0.679598, -0.112948, None)
(0.658532, 0.024822, None)
(0.774865, -0.804589, None)
(0.490936, 0.734508, None)
(0.147304, -0.281268, None)
(-0.387442, 0.168695, None)
(0.201390, -0.302392, None)
(-0.734201, 0.285061, None)
(-0.709595, -0.021742, None)
(-0.786367, -0.223140, None)
(-0.520798, -0.228513, None)
(0.106097, -0.560385, None)
(0.199545, -0.741442, None)
(-0.521647, 0.215848, None)
(0.535311, 0.027351, None)
(-0.556209, 0.383779, None)
(0.487420, -0.689671, None)
(-0.502159, 0.424220, None)
(0.763820, 0.235108, None)
(0.783800, -0.070912, None)
(-0.814234, 0.372786, None)
(-0.764471, -0.769112, None)
(0.756400, -0.801683, None)
(0.281538, -0.821223, None)
(-0.747511, 0.696323, None)
(0.759918, 0.421396, None)
(0.047979, 0.844939, None)
(-0.074316, -0.504016, None)
(0.646991, 0.417635, None)
(-0.326291, -0.559720, None)
(0.290703, -0.574491, None)
(-0.034942, -0.211617, None)
(-0.068582, -0.307265, None)
(0.186195, 0.556649, None)
(-0.051604, 0.527282, None)
(0.195407, 0.161004, None)
(-0.777765, 0.385786, None)
(0.583401, -0.104417, None)
(-0.119873, -0.689244, None)
(0.757234, 0.264401, None)
(0.504134, 0.265718, None)
(-0.727995, -0.409465, None)
(0.005082, -0.684812, None)
(-0.051044, -0.511402, None)
(-0.675864, 0.452048, None)
(0.568802, -0.008607, None)
(-0.080153, -0.559133, None)
(-0.023229, 0.477458, None)
(-0.454892, 0.776026, None)
(0.692955, -0.171239, None)
(0.174582, -0.192072, None)
(0.811262, -0.559577, None)
(-0.201098, 0.519373, None)
(-0.210876, 0.644802, None)
(0.844567, -0.165738, None)
(-0.644420, 0.148339, None)
(-0.827355, -0.341499, None)
