(0.476033, 0.294007, PING)
(-0.690247, -0.253012, PING)
(-0.053756, 0.058873, PING)
(0.822996, -0.636632, PING)
(0.295501, -0.232968, PING)
(-0.020368, -0.511645, PING)
(0.286040, -0.469768, PING)
(-0.067633, 0.367554, PING)
(-0.405039, 0.344147, PING)
(-0.820842, 0.573837, PING)
(-0.054500, 0.536324, PING)
(0.767211, 0.830370, PING)
(-0.558361, 0.345391, PING)
(-0.673478, -0.584340, PING)
(-0.701585, -0.319950, PING)
(-0.501991, 0.377188, PING)
(0.083513, -0.526364, METAL)
(0.205782, 0.680452, METAL)
(0.573167, -0.303501, METAL)
(-0.070946, -0.025629, METAL)
(0.833587, -0.839865, METAL)
(-0.614471, 0.261850, METAL)
(-0.731326, -0.357773, METAL)
(0.504906, 0.708251, METAL)
(-0.222547, -0.507338, METAL)
(0.653990, 0.228437, METAL)
(0.005584, -0.290341, METAL)
(-0.262937, -0.357371, METAL)
(0.456855, -0.036785, METAL)
(-0.513746, 0.639205, METAL)
(0.439148, 0.632876, METAL)
(0.701221, -0.671588, METAL)
(0.676056, 0.457946, METAL)
(-0.147361, -0.303083, METAL)
(0.105836, 0.155602, METAL)
(0.835737, 0.755897, METAL)
(-0.778320, 0.620173, METAL)
